cms,name,url
mcs-2,Mellon College of Science,https://www.cmu.edu/mcs
mcs-micv,MICV,https://www.cmu.edu/mcs/micv
mcs-technology-services,MCS Technology Services,https://www.cmu.edu/mcs/technology-services
metro21,Metro21: Smart Cities Institute,https://www.cmu.edu/metro21
mi-storeroom-2,Mellon Institute Storeroom,https://www.cmu.edu/mcs/mi-storeroom
middlestates-2,Middle States Accreditation,https://www.cmu.edu/middlestates
mits-2,Master of Information Technology Strategy,https://www.cmu.edu/mits
ml4sg,Machine Learning for Social Good,https://www.cmu.edu/scs/ml4sg
mlrc,Modern Language Resource Center,https://www.cmu.edu/dietrich/modlang/mlrc
modlang-2,Department of Modern Languages,https://www.cmu.edu/dietrich/modlang
ms-biotech-pharma,M.S. in Biotechnology and Pharmaceutical Engineering,https://www.cmu.edu/ms-biotech-pharma
ms-compbio-2,M.S. in Computational Biology,https://www.cmu.edu/ms-compbio
mscf-2,Master of Science in Computational Finance,https://www.cmu.edu/mscf
music,School of Music,https://www.cmu.edu/cfa/music
my-workday-toolkit-2,My HR Toolkit,https://www.cmu.edu/my-workday-toolkit
nasslli2018,NASSLLI 2018 @ CMU - June 23-29,https://www.cmu.edu/nasslli2018
ni,Neuroscience Institute,https://www.cmu.edu/ni
nrec-2,National Robotics Engineering Center,https://www.cmu.edu/nrec
nrotc-2,Steel City Naval ROTC,https://www.cmu.edu/nrotc
ogc-2,Office of the General Counsel,https://www.cmu.edu/ogc
oie,Office of International Education,https://www.cmu.edu/oie
operations-2,Facilities Infrastructure and Risk Management,https://www.cmu.edu/operations
operations-finance,Business Support Services,https://www.cmu.edu/business-support-services
osher-2,Osher Lifelong Learning Institute,https://www.cmu.edu/osher
osp-4,Office of Sponsored Programs,https://www.cmu.edu/osp
parents-3,Family & Parents,https://www.cmu.edu/parents
parking-2,Parking & Transportation Services,https://www.cmu.edu/parking
patent-lawsuit-2,Patent Lawsuit,https://www.cmu.edu/patent-lawsuit
patents,Center for AI and Patent Analysis,https://www.cmu.edu/epp/patents
pcangroup,PCAN,https://www.cmu.edu/dietrich/psychology/pcan
pcr-2,Public Communication for Researchers,https://www.cmu.edu/student-org/pcr
philosophy-2,Department of Philosophy,https://www.cmu.edu/dietrich/philosophy
physics-2,Department of Physics,https://www.cmu.edu/physics
pier-2,PIER: Program in Interdisciplinary Education Research,https://www.cmu.edu/pier
pnc-center,PNC Center for Financial Services Innovation,https://www.cmu.edu/tepper/pnc-center-for-financial-services-innovation
police-2,University Police,https://www.cmu.edu/police
policies-2,University Policies,https://www.cmu.edu/policies
polyphonic,polyphonic,https://www.cmu.edu/scs/polyphonic
posner-center-2,Posner Center,https://www.cmu.edu/posner-center
postoffice-2,Postal Services,https://www.cmu.edu/postoffice
pre-college,Pre-College Programs,https://www.cmu.edu/pre-college
pre-law-2,Pre-Law Program,https://www.cmu.edu/pre-law
progress-equity-leadership,PROGRESS ,https://www.cmu.edu/heinz/progress-equity-leadership
proseed-2,ProSEED,https://www.cmu.edu/proseed
psychology-2,Department of Psychology,https://www.cmu.edu/dietrich/psychology
pwc-2,Digital Transformation and Innovation Center,https://www.cmu.edu/risk-reg-center
qatar-dean-search-2,Qatar Dean Search,https://www.cmu.edu/qatar-dean-search
